op_unique_carrier,month,mean_delay,flight_count
YV,12,13.2141607913866,37393
YX,1,5.61845443108462,49708
YX,2,2.63708336978392,47212
YX,3,0.571252384714701,54391
YX,4,3.69189917259958,53311
YX,5,3.55572844308604,55567
YX,6,8.8133231922235,55384
YX,7,7.04091388136104,55748
YX,8,8.4967261687029,57272
YX,9,0.152140980651594,53149
YX,10,2.09423125702069,55641
YX,11,0.529889156626506,52640
YX,12,3.76258040458656,54568
ZW,1,12.9928435427746,16356
ZW,2,13.9051543511664,15377
ZW,3,-1.24971158283341,17697
ZW,4,1.99256760619747,17991
ZW,5,13.2262864932409,18275
ZW,6,20.5296739385409,17874
ZW,7,11.3967441325357,17901
ZW,8,9.6795062021485,17354
ZW,9,4.77771066143159,17117
ZW,10,-3.33062971724682,17883
ZW,11,4.05496700768812,17166
ZW,12,2.08839943006412,17059
